foil_type,sequence_length,episode_count,evaluated_trials,beta_accuracy_pct,delta_s_accuracy_pct,conf_self_accuracy_pct
exemplar,1,200,100,51.0,53.5,49.0
novel,1,200,100,47.0,56.99999999999999,56.99999999999999
state,1,200,100,43.0,54.0,45.0
exemplar,10,20,100,46.5,54.50000000000001,52.0
novel,10,20,100,49.5,52.5,66.0
state,10,20,100,45.0,52.5,50.0
exemplar,100,2,100,50.5,46.5,51.0
novel,100,2,100,48.5,54.0,59.0
state,100,2,100,52.0,45.5,52.0
exemplar,1000,1,100,50.0,50.0,50.0
novel,1000,1,100,50.5,50.0,50.0
state,1000,1,100,50.5,50.0,50.0
