foil_type,sequence_length,episode_index,trial_index_within_episode,study_length,target_name,foil_name,old_beta_mean,foil_beta_mean,old_delta_s_norm,foil_delta_s_norm,old_mean_conf_self,foil_mean_conf_self,beta_accuracy,delta_s_accuracy,conf_self_accuracy
exemplar,1,6,1,1,reportfile1.jpg,reportfile2.jpg,0.0,49.6153564453125,0.0,571738560.0,1.2171707153320312,1.9304592609405518,0.0,1.0,0.0
exemplar,1,7,1,1,holepunch1.jpg,holepunch2.jpg,0.0,0.0,0.0,0.0,2.8769588470458984,5.300355911254883,0.5,0.5,0.0
exemplar,1,9,1,1,coathanger1.jpg,coathanger2.jpg,4.0,0.0,2751.910888671875,0.0,3.4766321182250977,1.72282874584198,1.0,0.0,1.0
exemplar,1,11,1,1,pizza1.jpg,pizza2.jpg,0.0,4.0,0.0,31498.4921875,4.067040920257568,4.375959396362305,0.0,1.0,0.0
exemplar,1,12,1,1,kayak1.jpg,kayak2.jpg,0.0,0.0,0.0,0.0,3.3128905296325684,4.254976272583008,0.5,0.5,0.0
exemplar,1,14,1,1,pictureframe1.jpg,pictureframe2.jpg,-128.0,-128.0,87009.53125,87257.0078125,1.0301060676574707,3.4076735973358154,0.5,1.0,0.0
exemplar,1,15,1,1,key1.jpg,key2.jpg,4.0,4.0,2766.946044921875,2761.627685546875,8.396279335021973,8.31788444519043,0.5,0.0,1.0
exemplar,1,16,1,1,horn1.jpg,horn2.jpg,4.0,0.0,2743.85107421875,0.0,2.4751429557800293,2.6635217666625977,1.0,0.0,0.0
exemplar,1,17,1,1,lei1.jpg,lei2.jpg,0.0,0.0,0.0,0.0,5.308653354644775,2.7931251525878906,0.5,0.5,1.0
exemplar,1,21,1,1,parkmet1.jpg,parkmet2.jpg,0.0,0.0,0.0,0.0,2.8307814598083496,7.8185858726501465,0.5,0.5,0.0
exemplar,1,22,1,1,calculator1.jpg,calculator2.jpg,0.0,0.0,0.0,0.0,7.569461822509766,5.020007133483887,0.5,0.5,1.0
exemplar,1,26,1,1,feather1.jpg,feather2.jpg,0.0,0.0,0.0,0.0,5.375685691833496,4.913144111633301,0.5,0.5,1.0
exemplar,1,27,1,1,block1.jpg,block2.jpg,0.0,-112.0,0.0,76309.6484375,3.1863811016082764,5.356231689453125,1.0,1.0,0.0
exemplar,1,28,1,1,chisel1.jpg,chisel2.jpg,0.0,0.0,0.0,0.0,3.326349973678589,3.1285958290100098,0.5,0.5,1.0
