run_index,seed,unique_study_items,study_presentations,evaluated_trials,beta_accuracy,delta_s_accuracy,conf_self_accuracy
1,13,12,24,12,0.5,0.4166666666666667,0.5
2,14,12,24,12,0.5,0.375,0.5833333333333334
3,15,12,24,12,0.5416666666666666,0.375,0.3333333333333333
4,16,12,24,12,0.625,0.4166666666666667,0.5833333333333334
5,17,12,24,12,0.3333333333333333,0.4583333333333333,0.3333333333333333
6,18,12,24,12,0.5416666666666666,0.5416666666666666,0.5833333333333334
7,19,12,24,12,0.375,0.5416666666666666,0.5833333333333334
8,20,12,24,12,0.4166666666666667,0.5,0.25
9,21,12,24,12,0.5416666666666666,0.5,0.3333333333333333
10,22,12,24,12,0.6666666666666666,0.3333333333333333,0.25
