run_index,seed,trial_index,unique_study_items,study_presentations,target_name,foil_name,category,target_choice_index,foil_choice_index,old_beta_mean,foil_beta_mean,old_delta_s_norm,foil_delta_s_norm,old_mean_conf_self,foil_mean_conf_self,beta_accuracy,delta_s_accuracy,conf_self_accuracy
1,13,1,12,24,crystal_ball::exemplar_0,crystal_ball::exemplar_1,crystal_ball,1,0,-128.0,0.0,inf,0.0,4.157931327819824,3.871854305267334,0.0,0.0,1.0
1,13,2,12,24,barnacle::exemplar_0,barnacle::exemplar_1,barnacle,1,0,0.0,4.0,0.0,inf,3.6144683361053467,1.9275535345077515,0.0,1.0,1.0
1,13,3,12,24,crayfish::exemplar_0,crayfish::exemplar_1,crayfish,0,1,0.0,0.0,0.0,0.0,2.0017592906951904,2.9391191005706787,0.5,0.5,0.0
1,13,4,12,24,birthday_cake::exemplar_0,birthday_cake::exemplar_1,birthday_cake,0,1,4.0,0.0,inf,0.0,6.592658042907715,6.851783752441406,1.0,0.0,0.0
1,13,5,12,24,chip::exemplar_0,chip::exemplar_1,chip,0,1,0.0,0.0,0.0,0.0,18.54644012451172,6.8355207443237305,0.5,0.5,1.0
1,13,6,12,24,baton4::exemplar_0,baton4::exemplar_1,baton4,1,0,0.0,0.0,0.0,0.0,9.57937240600586,3.1642775535583496,0.5,0.5,1.0
1,13,7,12,24,corkboard::exemplar_0,corkboard::exemplar_1,corkboard,1,0,0.0,0.0,0.0,0.0,2.4371538162231445,5.187691688537598,0.5,0.5,0.0
1,13,8,12,24,blowtorch::exemplar_0,blowtorch::exemplar_1,blowtorch,1,0,4.0,0.0,inf,0.0,4.867406845092773,11.824949264526367,1.0,0.0,0.0
1,13,9,12,24,belt::exemplar_0,belt::exemplar_1,belt,1,0,112.0,0.0,inf,0.0,3.8171863555908203,7.510434627532959,1.0,0.0,0.0
1,13,10,12,24,clarinet::exemplar_0,clarinet::exemplar_1,clarinet,1,0,0.0,4.0,0.0,inf,4.235884189605713,6.933236122131348,0.0,1.0,0.0
1,13,11,12,24,christmas_tree::exemplar_0,christmas_tree::exemplar_1,christmas_tree,1,0,16.0,16.0,inf,inf,1.4947795867919922,1.1471872329711914,0.5,0.5,1.0
1,13,12,12,24,curtain::exemplar_0,curtain::exemplar_1,curtain,1,0,4.0,4.0,inf,inf,4.19803524017334,3.924546718597412,0.5,0.5,1.0
2,14,1,12,24,clock::exemplar_0,clock::exemplar_1,clock,1,0,4.0,4.0,inf,inf,3.1278910636901855,5.916553497314453,0.5,0.5,0.0
2,14,2,12,24,blender::exemplar_0,blender::exemplar_1,blender,0,1,4.0,0.0,inf,0.0,4.317683219909668,3.491720199584961,1.0,0.0,1.0
2,14,3,12,24,birdcage::exemplar_0,birdcage::exemplar_1,birdcage,1,0,0.0,0.0,0.0,0.0,1.5142863988876343,2.412325620651245,0.5,0.5,0.0
2,14,4,12,24,bag::exemplar_0,bag::exemplar_1,bag,0,1,4.0,0.0,inf,0.0,3.1616110801696777,2.848222255706787,1.0,0.0,1.0
2,14,5,12,24,dessert::exemplar_0,dessert::exemplar_1,dessert,1,0,4.0,80.0,inf,inf,4.190193176269531,7.440741539001465,0.0,0.5,0.0
2,14,6,12,24,coleslaw::exemplar_0,coleslaw::exemplar_1,coleslaw,1,0,80.0,4.0,inf,inf,6.163519859313965,3.6495752334594727,1.0,0.5,1.0
2,14,7,12,24,car_seat::exemplar_0,car_seat::exemplar_1,car_seat,0,1,0.0,0.0,0.0,0.0,3.2279052734375,3.837355375289917,0.5,0.5,0.0
2,14,8,12,24,cocoon::exemplar_0,cocoon::exemplar_1,cocoon,1,0,0.0,0.0,0.0,0.0,14.765124320983887,13.239866256713867,0.5,0.5,1.0
2,14,9,12,24,chip::exemplar_0,chip::exemplar_1,chip,0,1,-128.0,4.0,inf,inf,17.887420654296875,6.311856269836426,0.0,0.5,1.0
2,14,10,12,24,binder::exemplar_0,binder::exemplar_1,binder,0,1,-128.0,-128.0,inf,inf,4.887959957122803,2.1176505088806152,0.5,0.5,1.0
2,14,11,12,24,cheetah::exemplar_0,cheetah::exemplar_1,cheetah,0,1,-112.0,0.0,inf,0.0,1.7795264720916748,2.848151206970215,0.0,0.0,0.0
2,14,12,12,24,blueberry::exemplar_0,blueberry::exemplar_1,blueberry,1,0,4.0,4.0,inf,inf,3.5922935009002686,3.0049524307250977,0.5,0.5,1.0
3,15,1,12,24,diving_board::exemplar_0,diving_board::exemplar_1,diving_board,0,1,0.0,0.0,0.0,0.0,3.880047559738159,3.9598424434661865,0.5,0.5,0.0
3,15,2,12,24,airboat::exemplar_0,airboat::exemplar_1,airboat,1,0,0.0,0.0,0.0,0.0,5.509192943572998,5.7222700119018555,0.5,0.5,0.0
3,15,3,12,24,cutting_board::exemplar_0,cutting_board::exemplar_1,cutting_board,0,1,4.0,16.0,inf,inf,11.282012939453125,4.923639297485352,0.0,0.5,1.0
3,15,4,12,24,cocoon::exemplar_0,cocoon::exemplar_1,cocoon,0,1,0.0,0.0,0.0,0.0,14.765124320983887,13.214239120483398,0.5,0.5,1.0
3,15,5,12,24,baseball_glove::exemplar_0,baseball_glove::exemplar_1,baseball_glove,0,1,112.0,0.0,inf,0.0,3.8977198600769043,4.087120056152344,1.0,0.0,0.0
3,15,6,12,24,bib::exemplar_0,bib::exemplar_1,bib,0,1,4.0,0.0,inf,0.0,7.604999542236328,6.330159664154053,1.0,0.0,1.0
3,15,7,12,24,cruise_ship::exemplar_0,cruise_ship::exemplar_1,cruise_ship,1,0,4.0,4.0,inf,inf,2.662386894226074,8.96432876586914,0.5,0.5,0.0
