foil_type,sequence_length,episode_count,evaluated_trials,ratio_loss_accuracy_pct,ratio_grad_accuracy_pct,raw_loss_accuracy_pct,raw_grad_accuracy_pct
novel,1,100,100,88.0,86.0,68.0,71.0
novel,10,10,100,53.0,68.0,77.0,71.0
novel,100,1,100,54.0,66.0,61.0,66.0
novel,1000,1,100,55.00000000000001,54.0,50.0,57.99999999999999
exemplar,1,100,100,70.0,70.0,56.99999999999999,60.0
exemplar,10,10,100,52.0,65.0,70.0,67.0
exemplar,100,1,100,49.0,62.0,52.0,60.0
exemplar,1000,1,100,43.0,48.0,44.0,49.0
state,1,100,100,63.0,63.0,54.0,53.0
state,10,10,100,54.0,65.0,60.0,65.0
state,100,1,100,49.0,55.00000000000001,43.0,59.0
state,1000,1,100,44.0,50.0,43.0,49.0
