foil_type,sequence_length,episode_index,trial_index_within_episode,study_length,target_name,foil_name,old_loss_raw,foil_loss_raw,old_grad_raw,foil_grad_raw,old_loss_ratio,foil_loss_ratio,old_grad_ratio,foil_grad_ratio,loss_accuracy_raw,grad_accuracy_raw,loss_accuracy_ratio,grad_accuracy_ratio
novel,1,1,1,1,Adecorativem2.jpg,tuba1.jpg,18.112863540649414,17.78534698486328,15.93413931131363,16.441055431962013,0.3165388813977941,0.32575357620486656,0.27723966232350394,0.28904804566709924,0.0,1.0,1.0,1.0
novel,1,2,1,1,26372390.thl.jpg,Astool76.jpg,25.321216583251953,24.950790405273438,23.314389526844025,24.24387964606285,0.36703198420167027,0.3473919603986514,0.351394505095831,0.3339460565246811,0.0,1.0,0.0,0.0
novel,1,3,1,1,Ametalstool2.jpg,Abells3.jpg,18.841489791870117,22.165889739990234,16.273016273975372,20.648933798074722,0.3125972122339475,0.33986890137794895,0.26580489487331443,0.3066160533642791,1.0,1.0,1.0,1.0
novel,1,4,1,1,ABACCAMEL.jpg,APOTPBAG2.jpg,26.15395736694336,27.106489181518555,25.564544141292572,25.63973470032215,0.3163081433162001,0.3438290130178964,0.3087787887201316,0.3242057253346151,1.0,1.0,1.0,1.0
novel,1,5,1,1,AMIXER.jpg,AHARPSIC5.jpg,24.189546585083008,29.204002380371094,21.59226782619953,27.023885384202003,0.3270931965413685,0.38575692441234977,0.2943711914387603,0.3837949664497039,1.0,1.0,1.0,1.0
novel,1,6,1,1,ABPIECE2.jpg,26392231.thl.jpg,20.137662887573242,22.291675567626953,17.939987614750862,19.94966658949852,0.3232264195202701,0.36552142270681465,0.28857140653715124,0.3365312318938672,1.0,1.0,1.0,1.0
novel,1,7,1,1,ASTEAMER4.jpg,26420979.thl.jpg,17.906543731689453,18.404701232910156,15.238342300057411,16.147383987903595,0.32199036031516026,0.3352542408545406,0.27886427624135685,0.2957821588660979,1.0,1.0,1.0,1.0
novel,1,8,1,1,Adiamondring3.jpg,Abeesonahoney.jpg,22.454627990722656,34.405731201171875,20.63591031730175,33.34595240652561,0.3091895004445574,0.39294097796569133,0.28692716612466235,0.392166218392463,1.0,1.0,1.0,1.0
novel,1,9,1,1,Arecyclingbox.jpg,AMIXER1.jpg,20.92189598083496,19.992794036865234,18.701067373156548,18.123366802930832,0.3072852532308205,0.34840176310385657,0.2763039621923118,0.31497095125360774,0.0,0.0,1.0,1.0
novel,1,10,1,1,ACLSIGN2.jpg,Aspeakers4.jpg,25.120590209960938,21.16092300415039,23.525903314352036,19.570726737380028,0.3235371310482112,0.32383736137609875,0.302541199533048,0.2958247921622016,0.0,0.0,1.0,0.0
novel,1,11,1,1,moistureproduct.jpg,hockeypuck.jpg,20.124210357666016,24.453510284423828,17.707170605659485,22.298190623521805,0.30246212826825947,0.368253746253154,0.271192395296121,0.3565188345258609,1.0,1.0,1.0,1.0
novel,1,12,1,1,ATURKEY11.jpg,26373844.thl.jpg,23.302404403686523,20.623079299926758,20.62325093150139,19.237993344664574,0.3127859696874545,0.3171340128604045,0.28632075353100495,0.3016677351946516,0.0,0.0,1.0,1.0
novel,1,13,1,1,Astaircase2.jpg,Astrawfan.jpg,23.4151668548584,23.33492660522461,21.53496089577675,22.312087014317513,0.30802515986982615,0.3641656869066185,0.2824249723247824,0.3513875009192765,0.0,1.0,1.0,1.0
novel,1,14,1,1,Afeatherhat.jpg,26377601.thl.jpg,29.95206642150879,16.73578643798828,28.88963431119919,15.137690320611,0.31315638962224546,0.32842439399876877,0.30298258634745123,0.3061539981214145,0.0,0.0,1.0,1.0
novel,1,15,1,1,ABORKEHOR.jpg,APEPPSHA4.jpg,19.345247268676758,17.7392578125,16.973629251122475,15.42140606045723,0.3135673560129085,0.31056960061113337,0.27441715883814366,0.2714045445531789,0.0,0.0,0.0,0.0
novel,1,16,1,1,ADOORHAN8.jpg,AGOLDCUP6.jpg,22.95487403869629,27.01845359802246,21.038727939128876,25.657609567046165,0.3130390086588578,0.33526031461829187,0.298562526050143,0.321259293237461,1.0,1.0,1.0,1.0
novel,1,17,1,1,26434250.thl.jpg,AMETDETE2.jpg,21.019912719726562,18.998403549194336,18.923654541373253,17.92030557990074,0.31477586147224,0.3241069291498855,0.2929290792202843,0.3065207303843387,0.0,0.0,1.0,1.0
novel,1,18,1,1,22875816.thl.jpg,Aornamentalt5.jpg,16.91533660888672,23.398420333862305,14.968371361494064,21.6584153175354,0.31697974063400014,0.36677899291763694,0.27428273717573515,0.33453092780354937,1.0,1.0,1.0,1.0
novel,1,19,1,1,Apig5.jpg,Acdrominterf2.jpg,20.779035568237305,21.274137496948242,19.180255368351936,19.825164198875427,0.3318642803538496,0.33248172292132544,0.31313874160798383,0.3124886994760052,1.0,1.0,1.0,0.0
novel,1,20,1,1,Aseat3.jpg,ABARBCHA3.jpg,25.94354248046875,26.435483932495117,23.7857658714056,23.83069407939911,0.32016302694159043,0.3453062165897781,0.27831287030748414,0.32126125516581944,1.0,1.0,1.0,1.0
novel,1,21,1,1,ASCSIPORT.jpg,schoolbus.jpg,24.520450592041016,31.862470626831055,22.999063834547997,31.132630541920662,0.31784061052394963,0.3863139038959748,0.3020622626675607,0.38172534491900584,1.0,1.0,1.0,1.0
novel,1,22,1,1,AARTICHO1.jpg,leek.jpg,44.5518798828125,19.070199966430664,46.428521409630775,17.592339009046555,0.4611295933490927,0.3260206792171492,0.46960653168576233,0.29234862466987294,0.0,0.0,0.0,0.0
novel,1,23,1,1,for28524.jpg,gingerroot.jpg,17.29538917541504,38.40159606933594,14.733494952321053,39.33346977829933,0.29202055373236835,0.4409355794312798,0.24244661061476994,0.42962137497688574,1.0,1.0,1.0,1.0
novel,1,24,1,1,ADECKCARD.jpg,APROSTAR2.jpg,18.198633193969727,26.512834548950195,16.618710085749626,24.96625816822052,0.31894058100790856,0.3605820347989855,0.2813782515094417,0.3340316769506804,1.0,1.0,1.0,1.0
novel,1,25,1,1,Apartyha3.jpg,ALARGECA2.jpg,24.483816146850586,21.211950302124023,24.005448266863823,19.338595151901245,0.3249615738715041,0.3383586368182822,0.3210862288970968,0.3207534033313048,0.0,0.0,1.0,0.0
novel,1,26,1,1,26432760.thl.jpg,Atoytractor17.jpg,19.231597900390625,31.52779197692871,16.711098834872246,31.634642630815506,0.3152459950354013,0.3831211974571732,0.2767832745977109,0.37950473230560816,1.0,1.0,1.0,1.0
novel,1,27,1,1,ALAB19.jpg,AASCDESC.jpg,18.943571090698242,26.3488712310791,17.142081946134567,24.782047644257545,0.33813229955414553,0.38615888552994654,0.3023108976979221,0.3661687541575185,1.0,1.0,1.0,1.0
novel,1,28,1,1,ASCREW7.jpg,22806086.thl.jpg,18.764375686645508,20.679786682128906,16.66074176132679,18.34072995185852,0.3200308243355273,0.34445156078464895,0.2843715649403843,0.3050488030058212,1.0,1.0,1.0,1.0
novel,1,29,1,1,AELEMENT3.jpg,orientalvase.jpg,18.19765281677246,28.913984298706055,15.965351775288582,26.71998281776905,0.31499208454370586,0.3650033174096342,0.2761923584526675,0.35182522794876286,1.0,1.0,1.0,1.0
novel,1,30,1,1,Acompactdisc2.jpg,Acreamer35.jpg,16.93950080871582,25.794700622558594,14.039718985557556,23.51094150543213,0.302761879149816,0.3644485544700045,0.2537436869151092,0.3410971209181104,1.0,1.0,1.0,1.0
novel,1,31,1,1,AGRILL1.jpg,Aim4ribbo.jpg,18.967451095581055,32.271671295166016,16.844321623444557,31.827204912900925,0.3068420823477884,0.39954914239454314,0.264502473329423,0.3980643008548161,1.0,1.0,1.0,1.0
novel,1,32,1,1,promdress.jpg,26388148.thl.jpg,18.925256729125977,24.240493774414062,16.25914679467678,21.78232702612877,0.31051798928984653,0.34321959146256703,0.2610063870473163,0.3131083553773356,1.0,1.0,1.0,1.0
novel,1,33,1,1,Aappleonsca14.jpg,26687972.thl.jpg,21.589115142822266,15.942726135253906,18.72129938006401,13.794780507683754,0.3400093096457091,0.32945950311087374,0.309206975010859,0.2814453583586308,0.0,0.0,0.0,0.0
novel,1,34,1,1,securitycamera.jpg,Ametalpress.jpg,20.570398330688477,20.570226669311523,18.415058463811874,17.936060175299644,0.3232102293572356,0.3159191176588493,0.2936626792892349,0.2837267516200902,0.0,0.0,0.0,0.0
novel,1,35,1,1,AANTICAN2.jpg,Agolfplaque.jpg,29.1187686920166,17.790035247802734,28.330222114920616,15.847692012786865,0.355250418276913,0.31518674579537687,0.3423125575991715,0.2879818081208178,0.0,0.0,0.0,0.0
novel,1,36,1,1,mechanicalspring.jpg,Acamelsculpt2.jpg,18.333112716674805,38.96993637084961,15.938963010907173,39.58362606167793,0.2883170220325948,0.4311284412407597,0.2505403028413416,0.43328312519469575,1.0,1.0,1.0,1.0
novel,1,37,1,1,ACEDAR.jpg,AHUMIDIFI.jpg,21.162872314453125,23.490840911865234,19.463789507746696,21.279122322797775,0.3065324883481631,0.366495166871177,0.26702987086451774,0.33591206629016945,1.0,1.0,1.0,1.0
