foil_type,sequence_length,episode_count,evaluated_trials,linear_probe_accuracy_pct,raw_grad_accuracy_pct,ratio_grad_accuracy_pct
novel,1,100,100,46.0,71.0,86.0
novel,10,10,100,71.0,71.0,68.0
novel,100,1,100,54.0,66.0,66.0
novel,1000,1,100,46.0,57.99999999999999,54.0
exemplar,1,100,100,51.0,60.0,70.0
exemplar,10,10,100,67.0,67.0,65.0
exemplar,100,1,100,54.0,60.0,62.0
exemplar,1000,1,100,48.0,49.0,48.0
state,1,100,100,59.0,53.0,63.0
state,10,10,100,59.0,65.0,65.0
state,100,1,100,55.00000000000001,59.0,55.00000000000001
state,1000,1,100,54.0,49.0,50.0
