run_index,seed,unique_study_items,study_presentations,evaluated_trials,linear_probe_accuracy,raw_loss_accuracy,raw_grad_accuracy,ratio_loss_accuracy,ratio_grad_accuracy
1,13,12,24,12,0.75,0.6666666666666666,0.8333333333333334,0.5833333333333334,0.75
2,14,12,24,12,0.8333333333333334,0.9166666666666666,0.9166666666666666,0.6666666666666666,1.0
3,15,12,24,12,0.6666666666666666,0.75,0.75,0.5833333333333334,0.6666666666666666
4,16,12,24,12,0.8333333333333334,0.9166666666666666,0.8333333333333334,0.6666666666666666,0.9166666666666666
5,17,12,24,12,0.75,0.75,0.8333333333333334,0.75,0.9166666666666666
6,18,12,24,12,0.8333333333333334,0.75,0.75,0.6666666666666666,0.8333333333333334
7,19,12,24,12,0.75,0.5833333333333334,0.75,0.5833333333333334,0.8333333333333334
8,20,12,24,12,0.75,0.75,0.8333333333333334,0.25,0.9166666666666666
9,21,12,24,12,0.75,0.5833333333333334,0.75,0.5833333333333334,0.9166666666666666
10,22,12,24,12,0.5833333333333334,0.5833333333333334,0.8333333333333334,0.75,0.9166666666666666
