run_index,seed,unique_study_items,study_presentations,evaluated_trials,linear_probe_accuracy,raw_grad_accuracy,ratio_grad_accuracy
1,13,12,24,12,0.9166666666666666,0.9166666666666666,0.5833333333333334
2,14,12,24,12,0.6666666666666666,0.9166666666666666,0.9166666666666666
3,15,12,24,12,0.9166666666666666,1.0,0.9166666666666666
4,16,12,24,12,0.75,0.9166666666666666,0.75
5,17,12,24,12,0.75,0.6666666666666666,0.75
6,18,12,24,12,0.9166666666666666,1.0,0.6666666666666666
7,19,12,24,12,0.8333333333333334,0.9166666666666666,0.75
8,20,12,24,12,0.5,0.4166666666666667,0.5
9,21,12,24,12,0.6666666666666666,0.6666666666666666,0.75
10,22,12,24,12,0.8333333333333334,0.9166666666666666,0.75
11,23,12,24,12,0.9166666666666666,0.9166666666666666,0.8333333333333334
12,24,12,24,12,0.75,1.0,1.0
13,25,12,24,12,0.75,0.75,0.8333333333333334
14,26,12,24,12,0.8333333333333334,0.8333333333333334,0.75
15,27,12,24,12,0.6666666666666666,1.0,0.9166666666666666
16,28,12,24,12,0.75,0.8333333333333334,0.6666666666666666
17,29,12,24,12,0.75,0.5833333333333334,0.9166666666666666
18,30,12,24,12,0.6666666666666666,0.75,0.75
19,31,12,24,12,0.75,0.75,0.75
20,32,12,24,12,0.5833333333333334,0.8333333333333334,0.8333333333333334
21,33,12,24,12,0.9166666666666666,0.9166666666666666,0.9166666666666666
22,34,12,24,12,0.75,0.6666666666666666,0.8333333333333334
23,35,12,24,12,0.75,1.0,0.8333333333333334
24,36,12,24,12,1.0,0.9166666666666666,0.75
25,37,12,24,12,0.8333333333333334,0.75,0.9166666666666666
26,38,12,24,12,0.75,0.8333333333333334,0.75
27,39,12,24,12,0.5833333333333334,0.5833333333333334,0.6666666666666666
28,40,12,24,12,0.8333333333333334,0.9166666666666666,0.8333333333333334
29,41,12,24,12,0.8333333333333334,0.9166666666666666,0.75
30,42,12,24,12,0.8333333333333334,0.8333333333333334,0.9166666666666666
