run_index,seed,trial_index,unique_study_items,study_presentations,target_name,foil_name,category,target_choice_index,foil_choice_index,old_grad_raw,foil_grad_raw,old_grad_ratio,foil_grad_ratio,old_linear_score,foil_linear_score,raw_grad_accuracy,ratio_grad_accuracy,linear_probe_accuracy
1,13,1,12,24,00456_drink::exemplar_0,00456_drink::exemplar_1,00456_drink,1,0,0.6275755763053894,1.0884373188018799,0.00820919033139944,0.011219880543649197,0.6681337209670151,0.13104926901336636,1.0,1.0,1.0
1,13,2,12,24,00076_basket::exemplar_0,00076_basket::exemplar_1,00076_basket,1,0,0.6391701698303223,0.8833408355712891,0.007964272983372211,0.009100178256630898,0.5201319560793202,0.07950328706519824,1.0,1.0,1.0
1,13,3,12,24,00435_doily::exemplar_0,00435_doily::exemplar_1,00435_doily,0,1,0.6146501302719116,1.1561259031295776,0.00833080429583788,0.012113154865801334,0.4840498880173537,0.5031158693398248,1.0,1.0,0.0
1,13,4,12,24,00133_blowgun::exemplar_0,00133_blowgun::exemplar_1,00133_blowgun,0,1,0.366284042596817,0.6240578889846802,0.006522133946418762,0.008799154311418533,0.6903987641762488,0.3205753470604817,1.0,1.0,1.0
1,13,5,12,24,00334_coffee_table::exemplar_0,00334_coffee_table::exemplar_1,00334_coffee_table,0,1,0.4337924122810364,0.49218374490737915,0.00959864817559719,0.0086289681494236,0.6591762049313848,0.6131249628107105,1.0,0.0,1.0
1,13,6,12,24,00096_beard::exemplar_0,00096_beard::exemplar_1,00096_beard,1,0,0.5989229679107666,0.6496676206588745,0.012213210575282574,0.009569957852363586,0.528929696711217,0.5150486719940922,1.0,0.0,1.0
1,13,7,12,24,00411_dart::exemplar_0,00411_dart::exemplar_1,00411_dart,1,0,0.47309887409210205,0.7038362622261047,0.008517258800566196,0.007065290119498968,0.5907936933712427,0.5387811988154098,1.0,0.0,1.0
1,13,8,12,24,00149_bookshelf::exemplar_0,00149_bookshelf::exemplar_1,00149_bookshelf,1,0,0.4586259722709656,1.1017801761627197,0.006732976995408535,0.013898256234824657,0.5737543048836202,0.3420531510738521,1.0,1.0,1.0
1,13,9,12,24,00119_biscuit::exemplar_0,00119_biscuit::exemplar_1,00119_biscuit,1,0,0.454078733921051,0.6064498424530029,0.012370524927973747,0.011486361734569073,0.6009663459857106,0.43585654790858935,1.0,0.0,1.0
1,13,10,12,24,00351_cooker::exemplar_0,00351_cooker::exemplar_1,00351_cooker,1,0,0.5120868682861328,0.552466094493866,0.008597793988883495,0.00867542251944542,0.63257538772353,0.6245175683729598,1.0,1.0,1.0
1,13,11,12,24,00342_combination_lock::exemplar_0,00342_combination_lock::exemplar_1,00342_combination_lock,1,0,0.8531602025032043,0.5729109048843384,0.014454816468060017,0.011450184509158134,0.6321079256432911,0.6039482135191477,0.0,0.0,1.0
1,13,12,12,24,00466_dumpster::exemplar_0,00466_dumpster::exemplar_1,00466_dumpster,1,0,0.3802826404571533,0.8548030257225037,0.005044526420533657,0.011518223211169243,0.6194760910293308,0.42946463105473315,1.0,1.0,1.0
2,14,1,12,24,00360_corkboard::exemplar_0,00360_corkboard::exemplar_1,00360_corkboard,1,0,0.5223504900932312,0.6028959155082703,0.01678631268441677,0.014032342471182346,0.6276725912705549,0.6141737992245385,1.0,0.0,1.0
2,14,2,12,24,00139_bobsled::exemplar_0,00139_bobsled::exemplar_1,00139_bobsled,0,1,0.5572398900985718,0.63322913646698,0.005177725106477737,0.007979691959917545,0.49432805718215966,0.5608751697469865,1.0,1.0,0.0
