probe_type,foil_type,sequence_length,episode_count,evaluated_trials,linear_probe_accuracy_pct
loss_probe,novel,1,100,100,50.0
loss_probe,novel,10,10,100,64.0
loss_probe,novel,100,1,100,51.0
loss_probe,exemplar,1,100,100,66.0
loss_probe,exemplar,10,10,100,77.0
loss_probe,exemplar,100,1,100,60.0
grad_probe,novel,1,100,100,89.0
grad_probe,novel,10,10,100,73.0
grad_probe,novel,100,1,100,49.0
grad_probe,exemplar,1,100,100,79.0
grad_probe,exemplar,10,10,100,78.0
grad_probe,exemplar,100,1,100,59.0
