probe_type,foil_type,sequence_length,episode_index,trial_index_within_episode,study_length,target_key,foil_key,old_familiarity,foil_familiarity,linear_probe_accuracy
loss_probe,novel,1,1,1,1,00067_barbed_wire::exemplar_0,00075_baseball_glove::exemplar_0,0.39284452810219134,0.557490813801972,0.0
loss_probe,novel,1,2,1,1,00176_breathalyzer::exemplar_0,00048_backpack::exemplar_0,0.8625334530984086,0.4181964275069435,1.0
loss_probe,novel,1,3,1,1,00167_bracelet1::exemplar_0,00060_banana_peel::exemplar_0,0.4671125181795538,0.37200977731701457,1.0
loss_probe,novel,1,4,1,1,00171_brake::exemplar_0,00038_artichoke::exemplar_0,0.15011881091485915,0.8776349088513996,0.0
loss_probe,novel,1,5,1,1,00058_ballot_box::exemplar_0,00165_boy::exemplar_0,0.13968995935768067,0.017006951777539123,1.0
loss_probe,novel,1,6,1,1,00188_buckle::exemplar_0,00048_backpack::exemplar_0,0.683247349659757,0.26871111896288197,1.0
loss_probe,novel,1,7,1,1,00034_arch::exemplar_0,00019_ambulance::exemplar_0,0.41834034006280185,0.30874783747094836,1.0
loss_probe,novel,1,8,1,1,00137_board::exemplar_0,00055_baklava::exemplar_0,0.5931284939047645,0.8452911587272361,0.0
loss_probe,novel,1,9,1,1,00191_bulldozer::exemplar_0,00076_basket::exemplar_0,0.9629623714628565,0.7687530872143162,1.0
loss_probe,novel,1,10,1,1,00008_airbag::exemplar_0,00111_bikini::exemplar_0,0.3459285414599813,0.6301542843767874,0.0
loss_probe,novel,1,11,1,1,00033_aquarium::exemplar_0,00176_breathalyzer::exemplar_0,0.8834285745078493,0.6008944471088407,1.0
loss_probe,novel,1,12,1,1,00156_bow2::exemplar_0,00004_acorn::exemplar_0,0.47482764238943664,0.2794007858194807,1.0
loss_probe,novel,1,13,1,1,00071_barnacle::exemplar_0,00038_artichoke::exemplar_0,0.675279981128139,0.62481422966203,1.0
loss_probe,novel,1,14,1,1,00022_ankle::exemplar_0,00068_barbell::exemplar_0,0.6395799863892169,0.31705169332362726,1.0
loss_probe,novel,1,15,1,1,00116_birdbath::exemplar_0,00191_bulldozer::exemplar_0,0.3007874802269291,0.9831059220383097,0.0
loss_probe,novel,1,16,1,1,00112_bin::exemplar_0,00036_armor::exemplar_0,0.9338597821282187,0.37274253945778213,1.0
loss_probe,novel,1,17,1,1,00066_banner::exemplar_0,00092_bean::exemplar_0,0.8224698850265121,0.884531529080396,0.0
loss_probe,novel,1,18,1,1,00060_banana_peel::exemplar_0,00125_blimp::exemplar_0,0.6407740646885657,0.6919288289654486,0.0
loss_probe,novel,1,19,1,1,00194_bumper::exemplar_0,00141_bologna::exemplar_0,0.4106562164721622,0.1377793959449783,1.0
loss_probe,novel,1,20,1,1,00145_bongo::exemplar_0,00110_bib::exemplar_0,0.7721855646108439,0.18285128003204987,1.0
loss_probe,novel,1,21,1,1,00172_branch::exemplar_0,00094_beanie::exemplar_0,0.2942697296431899,0.3323927773747164,0.0
loss_probe,novel,1,22,1,1,00111_bikini::exemplar_0,00164_boxing_gloves::exemplar_0,0.7641701233449996,0.8636209502726934,0.0
loss_probe,novel,1,23,1,1,00081_bathmat::exemplar_0,00168_bracelet2::exemplar_0,0.43577118907701645,0.3483488162445855,1.0
loss_probe,novel,1,24,1,1,00031_applesauce::exemplar_0,00089_beachball::exemplar_0,0.666806030177291,0.3224968137826036,1.0
loss_probe,novel,1,25,1,1,00153_boulder::exemplar_0,00163_boxer_shorts::exemplar_0,0.8972789596543879,0.6337139270588773,1.0
