split,foil_type,num_training_rows,num_rows,num_pairs,accuracy,auc,pairwise_accuracy
train,overall,500,500,250,1.0,1.0,1.0
train,novel,500,242,121,1.0,1.0,1.0
train,exemplar,500,258,129,1.0,1.0,1.0
heldout,overall,500,1000,500,0.524,0.517968,0.524
heldout,novel,500,500,250,0.526,0.548672,0.544
heldout,exemplar,500,500,250,0.522,0.487216,0.504
train,overall,1000,1000,500,0.983,0.998972,1.0
train,novel,1000,460,230,0.9695652173913043,0.9972022684310018,1.0
train,exemplar,1000,540,270,0.9944444444444445,0.9999314128943758,1.0
heldout,overall,1000,1000,500,0.512,0.5211480000000001,0.522
heldout,novel,1000,500,250,0.526,0.5327680000000001,0.532
heldout,exemplar,1000,500,250,0.498,0.507216,0.512
train,overall,2000,2000,1000,0.8715,0.948936,0.944
train,novel,2000,1000,500,0.812,0.9112239999999998,0.908
train,exemplar,2000,1000,500,0.931,0.981076,0.98
heldout,overall,2000,1000,500,0.516,0.49982800000000005,0.49
heldout,novel,2000,500,250,0.518,0.507088,0.52
heldout,exemplar,2000,500,250,0.514,0.49075199999999997,0.46
