split,pair_id,episode_index,sequence_length,foil_type,category,exemplar_id,is_old,image_key
train,train_novel_ep00001_pair001,1,9,novel,00498_fan,0,1,train::00498_fan::exemplar_0
train,train_novel_ep00001_pair001,1,9,novel,00420_dial,0,0,train::00420_dial::exemplar_0
train,train_novel_ep00001_pair002,1,9,novel,00391_crown,0,1,train::00391_crown::exemplar_0
train,train_novel_ep00001_pair002,1,9,novel,00502_fence,0,0,train::00502_fence::exemplar_0
train,train_novel_ep00001_pair003,1,9,novel,00437_dollhouse,0,1,train::00437_dollhouse::exemplar_0
train,train_novel_ep00001_pair003,1,9,novel,00231_cannon,0,0,train::00231_cannon::exemplar_0
train,train_novel_ep00001_pair004,1,9,novel,00351_cooker,0,1,train::00351_cooker::exemplar_0
train,train_novel_ep00001_pair004,1,9,novel,00642_gyroscope,0,0,train::00642_gyroscope::exemplar_0
train,train_novel_ep00001_pair005,1,9,novel,00431_diving_board,0,1,train::00431_diving_board::exemplar_0
train,train_novel_ep00001_pair005,1,9,novel,00330_cocoon,0,0,train::00330_cocoon::exemplar_0
train,train_novel_ep00001_pair006,1,9,novel,00392_crucifix,0,1,train::00392_crucifix::exemplar_0
train,train_novel_ep00001_pair006,1,9,novel,00215_calzone,0,0,train::00215_calzone::exemplar_0
train,train_novel_ep00001_pair007,1,9,novel,00334_coffee_table,0,1,train::00334_coffee_table::exemplar_0
train,train_novel_ep00001_pair007,1,9,novel,00483_electric_chair,0,0,train::00483_electric_chair::exemplar_0
train,train_novel_ep00001_pair008,1,9,novel,00273_chariot,0,1,train::00273_chariot::exemplar_0
train,train_novel_ep00001_pair008,1,9,novel,00287_chihuahua,0,0,train::00287_chihuahua::exemplar_0
train,train_novel_ep00001_pair009,1,9,novel,00745_jellyfish,0,1,train::00745_jellyfish::exemplar_0
train,train_novel_ep00001_pair009,1,9,novel,00469_dynamite,0,0,train::00469_dynamite::exemplar_0
train,train_exemplar_ep00002_pair001,2,27,exemplar,00662_harness,0,1,train::00662_harness::exemplar_0
train,train_exemplar_ep00002_pair001,2,27,exemplar,00662_harness,1,0,train::00662_harness::exemplar_1
train,train_exemplar_ep00002_pair002,2,27,exemplar,00648_hairpin,0,1,train::00648_hairpin::exemplar_0
train,train_exemplar_ep00002_pair002,2,27,exemplar,00648_hairpin,1,0,train::00648_hairpin::exemplar_1
train,train_exemplar_ep00002_pair003,2,27,exemplar,00343_comic_book,0,1,train::00343_comic_book::exemplar_0
train,train_exemplar_ep00002_pair003,2,27,exemplar,00343_comic_book,1,0,train::00343_comic_book::exemplar_1
train,train_exemplar_ep00002_pair004,2,27,exemplar,00463_dumbbell,0,1,train::00463_dumbbell::exemplar_0
train,train_exemplar_ep00002_pair004,2,27,exemplar,00463_dumbbell,1,0,train::00463_dumbbell::exemplar_1
train,train_exemplar_ep00002_pair005,2,27,exemplar,00565_frog,0,1,train::00565_frog::exemplar_0
train,train_exemplar_ep00002_pair005,2,27,exemplar,00565_frog,1,0,train::00565_frog::exemplar_1
train,train_exemplar_ep00002_pair006,2,27,exemplar,00440_domino,0,1,train::00440_domino::exemplar_0
train,train_exemplar_ep00002_pair006,2,27,exemplar,00440_domino,1,0,train::00440_domino::exemplar_1
train,train_exemplar_ep00002_pair007,2,27,exemplar,00699_hook2,0,1,train::00699_hook2::exemplar_0
train,train_exemplar_ep00002_pair007,2,27,exemplar,00699_hook2,1,0,train::00699_hook2::exemplar_1
train,train_exemplar_ep00002_pair008,2,27,exemplar,00763_kazoo,0,1,train::00763_kazoo::exemplar_0
train,train_exemplar_ep00002_pair008,2,27,exemplar,00763_kazoo,1,0,train::00763_kazoo::exemplar_1
train,train_exemplar_ep00002_pair009,2,27,exemplar,00778_knitting_needle,0,1,train::00778_knitting_needle::exemplar_0
train,train_exemplar_ep00002_pair009,2,27,exemplar,00778_knitting_needle,1,0,train::00778_knitting_needle::exemplar_1
train,train_exemplar_ep00002_pair010,2,27,exemplar,00640_gutter,0,1,train::00640_gutter::exemplar_0
train,train_exemplar_ep00002_pair010,2,27,exemplar,00640_gutter,1,0,train::00640_gutter::exemplar_1
train,train_exemplar_ep00002_pair011,2,27,exemplar,00573_gallows,0,1,train::00573_gallows::exemplar_0
train,train_exemplar_ep00002_pair011,2,27,exemplar,00573_gallows,1,0,train::00573_gallows::exemplar_1
train,train_exemplar_ep00002_pair012,2,27,exemplar,00641_gyro,0,1,train::00641_gyro::exemplar_0
train,train_exemplar_ep00002_pair012,2,27,exemplar,00641_gyro,1,0,train::00641_gyro::exemplar_1
train,train_exemplar_ep00002_pair013,2,27,exemplar,00522_firetruck,0,1,train::00522_firetruck::exemplar_0
train,train_exemplar_ep00002_pair013,2,27,exemplar,00522_firetruck,1,0,train::00522_firetruck::exemplar_1
train,train_exemplar_ep00002_pair014,2,27,exemplar,00321_cloud,0,1,train::00321_cloud::exemplar_0
train,train_exemplar_ep00002_pair014,2,27,exemplar,00321_cloud,1,0,train::00321_cloud::exemplar_1
train,train_exemplar_ep00002_pair015,2,27,exemplar,00555_footbath,0,1,train::00555_footbath::exemplar_0
train,train_exemplar_ep00002_pair015,2,27,exemplar,00555_footbath,1,0,train::00555_footbath::exemplar_1
train,train_exemplar_ep00002_pair016,2,27,exemplar,00470_ear,0,1,train::00470_ear::exemplar_0
train,train_exemplar_ep00002_pair016,2,27,exemplar,00470_ear,1,0,train::00470_ear::exemplar_1
train,train_exemplar_ep00002_pair017,2,27,exemplar,00660_hard_disk,0,1,train::00660_hard_disk::exemplar_0
train,train_exemplar_ep00002_pair017,2,27,exemplar,00660_hard_disk,1,0,train::00660_hard_disk::exemplar_1
train,train_exemplar_ep00002_pair018,2,27,exemplar,00768_keyboard,0,1,train::00768_keyboard::exemplar_0
train,train_exemplar_ep00002_pair018,2,27,exemplar,00768_keyboard,1,0,train::00768_keyboard::exemplar_1
train,train_exemplar_ep00002_pair019,2,27,exemplar,00339_collar,0,1,train::00339_collar::exemplar_0
train,train_exemplar_ep00002_pair019,2,27,exemplar,00339_collar,1,0,train::00339_collar::exemplar_1
train,train_exemplar_ep00002_pair020,2,27,exemplar,00651_hammock,0,1,train::00651_hammock::exemplar_0
train,train_exemplar_ep00002_pair020,2,27,exemplar,00651_hammock,1,0,train::00651_hammock::exemplar_1
train,train_exemplar_ep00002_pair021,2,27,exemplar,00655_handkerchief,0,1,train::00655_handkerchief::exemplar_0
