run_index,seed,probe_index,study_position,lag,image_name,concept,human_cr,raw_grad,memory_score
1,13,1,1,99,coffee_table/coffee_table_01b.jpg,coffee_table,0.75,0.3082703575491905,-0.3082703575491905
1,13,2,2,98,blazer/blazer_01b.jpg,blazer,0.731707317,0.3217334821820259,-0.3217334821820259
1,13,3,3,97,cabbage/cabbage_01b.jpg,cabbage,0.682926829,1.966554045677185,-1.966554045677185
1,13,4,4,96,cactus/cactus_01b.jpg,cactus,0.780487805,0.7300558090209961,-0.7300558090209961
1,13,5,5,95,clasp/clasp_01b.jpg,clasp,0.707317073,1.0038827061653137,-1.0038827061653137
1,13,6,6,94,cabinet/cabinet_01s.jpg,cabinet,0.6,0.4279053807258606,-0.4279053807258606
1,13,7,7,93,casserole/casserole_01b.jpg,casserole,0.743589744,0.6353948265314102,-0.6353948265314102
1,13,8,8,92,airplane/airplane_01b.jpg,airplane,0.720930233,0.3105642721056938,-0.3105642721056938
1,13,9,9,91,crutch/crutch_01b.jpg,crutch,0.756097561,0.5921114236116409,-0.5921114236116409
1,13,10,10,90,dalmatian/dalmatian_01b.jpg,dalmatian,0.750609756,0.6820700466632843,-0.6820700466632843
1,13,11,11,89,cufflink/cufflink_01b.jpg,cufflink,0.789473684,0.412809394299984,-0.412809394299984
1,13,12,12,88,cannonball/cannonball_01b.jpg,cannonball,0.725,0.5652872025966644,-0.5652872025966644
1,13,13,13,87,antenna/antenna_01b.jpg,antenna,0.641025641,0.31746380776166916,-0.31746380776166916
1,13,14,14,86,compass/compass_01b.jpg,compass,0.625,0.9017367213964462,-0.9017367213964462
1,13,15,15,85,cord/cord_01b.jpg,cord,0.674418605,0.44687411189079285,-0.44687411189079285
1,13,16,16,84,cream_cheese/cream_cheese_01b.jpg,cream_cheese,0.744186047,0.40522709488868713,-0.40522709488868713
1,13,17,17,83,brussels_sprouts/brussels_sprouts_01b.jpg,brussels_sprouts,0.7,0.7166734039783478,-0.7166734039783478
1,13,18,18,82,abacus/abacus_01b.jpg,abacus,0.648648649,0.7256339192390442,-0.7256339192390442
