percentile_rank,global_rank_within_local_subset,concept,local_image_name,local_path,human_cr
1,1,brake,brake_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/brake/brake_01b.jpg,0.463414634
2,6,defibrillator,defibrillator_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/defibrillator/defibrillator_01b.jpg,0.55
3,11,binoculars,binoculars_01s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/binoculars/binoculars_01s.jpg,0.595238095
4,16,cabinet,cabinet_01s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/cabinet/cabinet_01s.jpg,0.6
5,21,bulldozer,bulldozer_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/bulldozer/bulldozer_01b.jpg,0.619047619
6,26,compass,compass_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/compass/compass_01b.jpg,0.625
7,31,antenna,antenna_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/antenna/antenna_01b.jpg,0.641025641
8,36,abacus,abacus_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/abacus/abacus_01b.jpg,0.648648649
9,41,deer,deer_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/deer/deer_01b.jpg,0.65
10,46,artichoke,artichoke_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/artichoke/artichoke_01b.jpg,0.658536585
11,51,cord,cord_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/cord/cord_01b.jpg,0.674418605
