date,task,dataset,model,foil_type,n_images_in_context,n_trials,n_valid,n_correct,n_parse_failures,max_context,p_old,min_delay,max_delay,mode,split,accuracy,d_prime,mem_score,hit_rate,correct_rejection_rate,false_alarm_rate,weighted_f1,compliance
2026-04-12,2-AFC Recognition,Brady2008,gemini-2.5-flash,exemplar,1,,,,,,,,,,,0,0,0,,,,,
2026-04-12,2-AFC Recognition,Brady2008,gemini-2.5-flash,state,1,,,,,,,,,,,0,0,0,,,,,
2026-04-12,2-AFC Recognition,Brady2008,gemini-2.5-flash,novel,1,,,,,,,,,,,1.0,0.9538725524089398,1.0,,,,,
2026-04-12,2-AFC Recognition,Brady2008,gemini-2.5-flash,exemplar,10,,,,,,,,,,,0,0,0,,,,,
2026-04-12,2-AFC Recognition,Brady2008,gemini-2.5-flash,state,10,,,,,,,,,,,0,0,0,,,,,
2026-04-12,2-AFC Recognition,Brady2008,gemini-2.5-flash,novel,10,,,,,,,,,,,1.0,2.3909000374002667,1.0,,,,,
2026-04-12,2-AFC Recognition,Brady2008,gemini-2.5-flash,novel,100,,,,,,,,,,,1.0,3.300447169932385,1.0,,,,,
2026-04-13,2-AFC Recognition,Brady2008,gemini-2.5-flash,exemplar,100,,,,,,,,,,,0.94,2.647224974601696,0.9583333333333333,,,,,
2026-04-13,2-AFC Recognition,Brady2008,gemini-2.5-flash,state,100,,,,,,,,,,,0.78,1.2214501067543557,0.625,,,,,
2026-04-14,2-AFC Recognition,Brady2008,gemini-2.5-flash,novel,500,,,,,,,,,,,1.0,3.300447169932385,1.0,,,,,
2026-04-12,2-AFC Recognition,Brady2008,gpt-4o,exemplar,1,,,,,,,,,,,0,0,0,,,,,
2026-04-12,2-AFC Recognition,Brady2008,gpt-4o,state,1,,,,,,,,,,,0,0,0,,,,,
2026-04-12,2-AFC Recognition,Brady2008,gpt-4o,novel,1,,,,,,,,,,,1.0,0.9538725524089398,1.0,,,,,
2026-04-12,2-AFC Recognition,Brady2008,gpt-4o,exemplar,10,,,,,,,,,,,0,0,0,,,,,
2026-04-12,2-AFC Recognition,Brady2008,gpt-4o,state,10,,,,,,,,,,,0,0,0,,,,,
2026-04-12,2-AFC Recognition,Brady2008,gpt-4o,novel,10,,,,,,,,,,,1.0,2.3909000374002667,1.0,,,,,
